iter	RMSE
0	73453.90943
1	71765.15695
2	70234.93388
3	68677.55853
4	67086.09014
5	65687.25931
6	64249.1056
7	62781.78161
8	61264.8573
9	60035.2943
10	58718.29857
11	57496.56418
12	56342.97642
13	55223.74887
14	54165.88077
15	53110.85691
16	51998.60208
17	51040.18928
18	50052.46251
19	49038.14266
20	48069.53523
21	47175.03639
22	46300.16684
23	45474.20549
24	44731.31192
25	43955.01135
26	43199.58932
27	42527.70456
28	41904.32802
29	41218.83759
30	40487.4308
31	39855.43863
32	39371.06592
33	38831.31931
34	38188.69776
35	37581.88692
36	37074.89959
37	36633.23548
38	36123.67511
39	35637.73823
40	35075.87152
41	34589.12663
42	34150.24174
43	33752.69458
44	33345.92242
45	32904.38763
46	32488.84428
47	32102.99845
48	31709.84868
49	31366.23243
50	31063.43999
51	30763.813
52	30447.22836
53	30132.61742
54	29830.28839
55	29503.07244
56	29232.15981
57	28951.95737
58	28702.93098
59	28463.52643
60	28235.61028
61	28011.37345
62	27767.43299
63	27526.36809
64	27310.3405
65	27096.7765
66	26930.63856
67	26733.40312
68	26530.2599
69	26304.07561
70	26162.6874
71	25969.38599
72	25772.6582
73	25602.9781
74	25406.83775
75	25240.05055
76	25076.27087
77	24916.92216
78	24759.86842
79	24610.2986
80	24496.38196
81	24312.61921
82	24187.52084
83	24067.00091
84	23944.02271
85	23796.30131
86	23711.66686
87	23559.14568
88	23443.63261
89	23353.34735
90	23251.4321
91	23142.95696
92	23038.39565
93	22933.39133
94	22832.5752
95	22725.27724
96	22598.54662
97	22507.08437
98	22403.5758
99	22285.17847
100	22225.09703
101	22128.8351
102	22010.53602
103	21914.8101
104	21833.96817
105	21739.82358
106	21647.84104
107	21553.6505
108	21483.59029
109	21411.78351
110	21340.34653
111	21244.53569
112	21195.149
113	21132.25904
114	21067.30119
115	21011.5572
116	20963.23525
117	20893.63597
118	20822.36806
119	20741.80273
120	20666.17803
121	20615.73677
122	20564.34417
123	20519.22
124	20461.31083
125	20415.20776
126	20389.67264
127	20331.95609
128	20286.6033
129	20250.2528
130	20204.96241
131	20164.79522
132	20122.30995
133	20068.85831
134	20004.01732
135	19968.8595
136	19921.32621
137	19858.11464
138	19813.95451
139	19762.49229
140	19702.15686
141	19655.02317
142	19585.26719
143	19557.66301
144	19512.87944
145	19488.97927
146	19454.05066
147	19412.02542
148	19372.07572
149	19323.60943
150	19274.05502
151	19218.96701
152	19176.00753
153	19139.57064
154	19111.50795
155	19073.4056
156	19041.41037
157	19002.50729
158	18959.2209
159	18910.62792
160	18858.32047
161	18820.15772
162	18773.30334
163	18737.18402
164	18699.51663
165	18654.91554
166	18619.11736
167	18557.38158
168	18510.48403
169	18454.00059
170	18422.40462
