iter	Logloss
0	0.6527329915
1	0.6199070011
2	0.5884037675
3	0.5611741988
4	0.5384017027
5	0.5179209716
6	0.4985624367
7	0.4811919005
8	0.4648639137
9	0.451131238
10	0.4407271332
11	0.4300613849
12	0.4210858797
13	0.4138118735
14	0.4065694158
15	0.3992078298
16	0.3938426551
17	0.3879776107
18	0.3828934328
19	0.3778980716
20	0.3744602739
21	0.370254305
22	0.3680068865
23	0.3650592981
24	0.3622174423
25	0.3589396852
26	0.3567686146
27	0.3537637625
28	0.3521385806
29	0.349925035
30	0.3478888561
31	0.3464413098
32	0.3445340516
33	0.3428025384
34	0.3417492827
35	0.3406501419
36	0.3390173121
37	0.3375670945
38	0.336424197
39	0.3351772731
40	0.333854142
41	0.3327827968
42	0.331603107
43	0.3308713637
44	0.329882585
45	0.3291763784
46	0.3282640035
47	0.3272147785
48	0.3267153675
49	0.326037851
50	0.3249757029
51	0.3242883849
52	0.3234910948
53	0.3225571898
54	0.3219384832
55	0.321254914
56	0.3205515248
57	0.320198989
58	0.3196566709
59	0.3190561849
60	0.3184713791
61	0.3178312018
62	0.3174266245
63	0.3170073246
64	0.3166565272
65	0.3161347476
66	0.3156608112
67	0.3152843148
68	0.3147383538
69	0.3140243564
70	0.3137412957
71	0.3131539113
72	0.3127710186
73	0.3124761785
74	0.3120854185
75	0.3117371497
76	0.311507742
77	0.311070623
78	0.3107354883
79	0.3102658213
80	0.3099163478
81	0.3096783279
82	0.3093870195
83	0.3091664854
84	0.3089335747
85	0.3087305363
86	0.308434824
87	0.3081619384
88	0.3078025582
89	0.3074521957
90	0.30714243
91	0.3067670204
92	0.3062293267
93	0.3059516805
94	0.305792468
95	0.3054943172
96	0.3051726661
97	0.3049386259
98	0.3046656215
99	0.304497068
100	0.3042474646
101	0.3039959359
102	0.303709406
103	0.3034867531
104	0.303250953
105	0.3029760836
106	0.3027829286
107	0.3025549476
108	0.3020949732
109	0.3019723822
110	0.301822963
111	0.3016844079
112	0.3013861507
113	0.3011962707
114	0.300935592
115	0.3006839155
116	0.3004184894
117	0.3001887281
118	0.3000236909
119	0.2998839794
120	0.2996458741
121	0.2994391341
122	0.2993119507
123	0.299133991
124	0.2989869922
125	0.2987499458
126	0.2985992662
127	0.2984798085
128	0.2982915262
129	0.2980604757
130	0.2979118263
131	0.2977325086
132	0.2975866271
133	0.2973744762
134	0.297227821
135	0.2970635925
136	0.2969029424
137	0.2967963144
138	0.2966041163
139	0.2964332329
140	0.2962346873
141	0.2959625376
142	0.2957379489
143	0.2955599552
144	0.2954202272
145	0.2951432043
146	0.2949254395
147	0.2947555373
148	0.2945870166
149	0.2945035449
150	0.2944213947
151	0.2942676115
152	0.2941653118
153	0.2940115716
154	0.2939224587
155	0.2933867975
156	0.2932814232
157	0.2931386624
158	0.2930298412
159	0.2929122876
160	0.2928005724
161	0.2927018291
162	0.2925712772
163	0.2924539527
164	0.2922976881
165	0.2921205337
166	0.2920323168
167	0.2919079584
168	0.2917786276
169	0.2915916691
170	0.2913984718
171	0.2912450894
172	0.2911604326
173	0.2910323423
174	0.2908680624
175	0.2907916803
176	0.2906746018
177	0.2905391807
178	0.2904511512
179	0.2903639773
180	0.2902948411
181	0.290205198
182	0.290130085
183	0.2900365093
184	0.2899645171
185	0.2898820689
186	0.2897424102
187	0.289613987
188	0.2893701657
189	0.2892751552
190	0.2891726455
191	0.2890703234
192	0.2889766514
193	0.2888819773
194	0.2887718824
195	0.288682414
196	0.2885844724
197	0.2884733913
198	0.2884071631
199	0.288337748
200	0.2882487817
201	0.2881591398
202	0.2878747853
203	0.2877763602
204	0.2876410952
205	0.2875806098
206	0.2874498204
