iter	Passed	Remaining
0	152	152503
1	166	83039
2	180	59954
3	199	49713
4	209	41718
5	230	38121
6	247	35145
7	269	33383
8	292	32222
9	314	31091
10	336	30284
11	352	29036
12	375	28483
13	394	27777
14	411	27044
15	428	26369
16	448	25941
17	462	25218
18	475	24555
19	491	24068
20	504	23512
21	526	23408
22	544	23133
23	562	22881
24	573	22368
25	586	21966
26	604	21792
27	623	21644
28	637	21355
29	651	21059
30	667	20879
31	693	20983
32	719	21070
33	735	20904
34	750	20705
35	768	20568
36	783	20383
37	796	20176
38	810	19975
39	819	19677
40	832	19481
41	846	19297
42	857	19093
43	872	18952
44	886	18820
45	900	18676
46	913	18523
47	928	18413
48	943	18309
49	953	18115
50	966	17985
51	980	17867
52	993	17755
53	1007	17650
54	1017	17478
55	1033	17429
56	1047	17327
57	1063	17277
58	1075	17154
59	1086	17022
60	1096	16878
61	1107	16751
62	1118	16636
63	1128	16507
64	1141	16416
65	1150	16278
66	1159	16148
67	1168	16010
68	1179	15909
69	1187	15778
70	1196	15653
71	1206	15548
72	1216	15445
73	1227	15356
74	1238	15270
75	1248	15181
76	1258	15082
77	1269	15000
78	1278	14909
79	1290	14843
80	1303	14790
81	1313	14706
82	1321	14604
83	1329	14502
84	1338	14405
85	1348	14334
86	1358	14261
87	1368	14185
88	1378	14107
89	1387	14026
90	1396	13953
91	1407	13887
92	1417	13828
93	1428	13767
94	1436	13687
95	1446	13623
96	1455	13546
97	1467	13504
98	1478	13455
99	1487	13387
100	1496	13323
101	1511	13303
102	1523	13264
103	1531	13194
104	1541	13138
105	1552	13094
106	1561	13032
107	1571	12979
108	1582	12935
109	1592	12887
110	1602	12836
111	1612	12785
112	1624	12748
113	1634	12702
114	1642	12640
115	1651	12585
116	1660	12531
117	1671	12490
118	1684	12474
119	1694	12424
120	1703	12372
121	1711	12316
122	1721	12277
123	1730	12226
124	1739	12178
125	1749	12135
126	1758	12086
127	1766	12031
128	1774	11981
129	1784	11943
130	1795	11907
131	1804	11863
132	1812	11814
133	1822	11776
134	1833	11750
135	1844	11718
136	1855	11685
137	1865	11655
138	1877	11628
139	1888	11597
140	1897	11562
141	1909	11539
142	1919	11506
143	1928	11464
144	1939	11435
145	1948	11400
146	1958	11364
147	1968	11331
148	1979	11303
149	1987	11264
150	1996	11225
151	2005	11188
152	2015	11155
153	2023	11116
154	2032	11079
155	2042	11051
156	2052	11018
157	2064	11002
158	2075	10979
159	2085	10947
160	2094	10916
161	2107	10899
